年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳原始,低碳工艺降碳原始,原料优化原始,目标碳强度,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排_不含绿电工艺,目标排放,CCUS原始_不含绿电工艺,绿电工艺最大值,绿电降碳调整,低碳工艺调整,技术减排总计,CCUS,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,-0.0024545454639750956,1.95,0.0,0.0,0.0,0.0,0.0,195992.55,0.0,0.0,0.0,0.0,0.0,0.0,
2025,96081,10.8,1.1,391.38215029375004,48.0405,-1977.6647045454574,1.958,8634.6,1037.674800000001,14.412150000000024,0.0,9686.686950000001,188126.598,-1820.7349500000128,-1820.7349500000128,-1820.7349500000128,0.0,7865.951999999988,0.0,0.0
2026,95000,11.5,1.2,774.1675083333333,142.5,-2388.403636363645,1.941,10742.55,1923.7500000000002,28.50000000000002,0.0,12694.8,184395.0,-1097.25,-1097.25,-1097.25,0.0,11597.55,0.0,0.0
2027,94000,12.039663305139882,1.307229993493819,1149.3392925,282.0,-2763.130909090912,1.924,12692.55,2588.3327342225107,43.31942908262851,0.0,15324.202163305139,180856.0,-187.65216330514522,-187.65216330514522,-187.65216330514522,0.0,15136.549999999994,0.0,0.0
2028,93000,12.5,1.4,1516.5609200000001,465.0,-3139.903636363639,1.907,14642.55,3138.75,55.80000000000004,0.0,17837.1,177351.0,804.4499999999825,804.4499999999825,804.4499999999825,0.0,18641.54999999998,0.0,0.0
2029,92000,12.978846779440467,1.4585800260247235,1875.8257583333334,690.0,-3518.721818181827,1.891,16592.55,3699.72770006506,63.284043591411894,0.0,20355.56174365647,173972.0,1664.988256343524,1664.988256343524,1664.988256343524,0.0,22020.549999999996,0.0,0.0
2030,91000,13.5,1.5,2227.1271749999996,955.4999999999999,-3899.585454545457,1.874,18542.55,4299.75,68.25000000000006,0.0,22910.55,170534.0,2548.0,2548.0,2227.1271749999996,320.8728250000004,25458.549999999996,0.0,0.0
2031,90000,14.069342875731945,1.547540663630449,2645.476092,1341.0,-4065.2672727272757,1.849,20492.55,4944.251594014313,73.91798959011068,0.0,25510.719583604423,166410.0,4071.8304163955618,4071.8304163955618,2645.476092,1341.0,29497.195675604424,85.35432439556462,0.2885292998594261
2032,89000,14.695146389069617,1.612726089785296,3054.7400758000003,1842.3,-4237.821818181819,1.825,22442.55,5641.218386467146,81.79893298633709,0.0,28165.567319453483,162425.0,5401.982680546498,5401.982680546498,3054.7400758000003,1842.3,33062.607395253486,504.9426047464949,1.5042581443879437
2033,87800,15.386278464541316,1.7041411841249188,3447.04162656,2449.62,-4514.301818181818,1.8,24782.55,6384.355864020823,92.7353939492519,0.0,31259.641257970077,158040.0,6692.908742029918,6692.908742029918,3447.04162656,2449.62,37156.30288453008,796.247115469916,2.098006894055646
2034,86600,16.151607026675343,1.830370852309694,3828.2290174799996,3160.9000000000005,-4799.02909090909,1.776,27122.55,7191.843774886145,107.86517371502934,0.0,34422.25894860117,153801.6,7768.691051398811,7768.691051398811,3828.2290174799996,3160.9000000000005,41411.38796608117,779.5620339188026,1.8476996462957176
2035,85500,17.0,2.0,4203.187695,3975.7500000000005,-5042.790000000003,1.751,29267.55,8079.750000000001,128.2500000000001,0.0,37475.55,149710.5,8806.5,8806.5,4203.187695,3975.7500000000005,45654.487695,627.5623049999704,1.3559518322977713
2036,84800,17.933938841899803,2.2192166558230317,4803.92335808,4926.88,-4658.776363636373,1.691,30632.55,9082.773186206896,155.08435862068978,0.0,39870.40754482758,143396.80000000002,12725.342455172387,12725.342455172387,4803.92335808,4926.88,49601.21090290758,2994.5390970923763,5.693500134692211
2037,84200,18.930359141184123,2.4846213402732595,5403.13365228,6003.46,-4235.858181818185,1.631,31802.55,10151.139235783994,187.50767527651286,0.0,42141.19691106051,137330.2,16521.153088939463,16521.153088939463,5403.13365228,6003.46,53547.79056334051,5114.559436659474,8.718640553369369
2038,83600,19.959810019518542,2.7904176968119714,5995.84812904,7197.960000000001,-3823.249090909097,1.571,32972.549999999996,11240.64158802863,224.51837918022142,0.0,44437.709967208844,131335.6,20219.24003279113,20219.24003279113,5995.84812904,7197.960000000001,57631.518096248845,7025.43190375113,10.86570261008466
2039,83100,20.99284059856864,3.1308093689004552,6589.942484159999,8517.75,-3368.299090909101,1.51,33947.549999999996,12332.318225504228,265.60538783344197,0.0,46545.473613337665,125481.0,23966.076386662317,23966.076386662317,6589.942484159999,8517.75,61653.16609749766,8858.383902502334,12.563025351878288
2040,82600,22.0,3.5,7178.954328,9953.300000000001,-2921.9400000000046,1.45,34922.549999999996,13381.2,309.7500000000003,0.0,48613.5,119770.0,27609.04999999999,27609.04999999999,7178.954328,9953.300000000001,65745.754328,10476.795671999993,13.745008100621133
2041,82200,22.957667859466493,3.892692582953806,7507.199724359999,11417.580000000002,-2409.6272727272744,1.38,35702.549999999996,14379.12402364997,356.6689954782046,0.0,50438.34301912817,113435.99999999999,32118.206980871837,32118.206980871837,7507.199724359999,11417.580000000002,69363.12274348817,13193.42725651183,15.981078735135892
2042,81800,23.865545868575147,4.305587508132726,7833.3878784,12899.860000000002,-1904.3836363636467,1.31,36482.549999999996,15311.722302667535,405.5955872478858,0.0,52199.86788991542,107158.0,36634.68211008457,36634.68211008457,7833.3878784,12899.860000000002,72933.11576831542,15901.434231684572,17.900056038652277
2043,81500,24.729166232921276,4.735884515289524,8167.518636899999,14417.350000000002,-1350.049090909092,1.24,37067.549999999996,16205.765147771635,456.71188199414473,0.0,53730.02702976578,101060.0,41202.52297023422,41202.52297023422,8167.518636899999,14417.350000000002,76314.89566666578,18617.654333334212,19.611455010251188
2044,81200,25.554061158100197,5.180783344176968,8500.442917119999,15955.800000000003,-801.0163636363641,1.17,37652.549999999996,17050.36184150944,509.2194113207551,0.0,55212.131252830186,95004.0,45776.41874716981,45776.41874716981,8500.442917119999,15955.800000000003,79668.37416995018,21320.175830049804,21.111478311204397
2045,80900,26.34576284970722,5.6374837345478195,8832.1444827,17514.850000000002,-257.28545454545383,1.1,38237.549999999996,17852.024896307743,562.7586511873784,0.0,56652.33354749512,88990.0,50350.21645250486,50350.21645250486,8832.1444827,17514.850000000002,82999.32803019512,24003.221969804872,22.432383125266522
2046,80600,27.10980351333767,6.103185426154848,9162.607097279999,19094.140000000003,281.1436363636296,1.03,38822.549999999996,18617.17720286272,616.9751180221217,0.0,58056.70232088484,83018.0,54917.84767911513,54917.84767911513,9162.607097279999,19094.140000000003,86313.44941816483,26661.100581835155,23.599209363378883
2047,80300,27.851715354586858,6.575088158750813,9491.8145245,20693.310000000005,814.2709090909041,0.96,39407.549999999996,19352.152030139885,671.519368721536,0.0,59431.22139886142,77088.0,59473.32860113858,59473.32860113858,9491.8145245,20693.310000000005,89616.34592336143,29288.20407663856,24.63169330075137
2048,79800,28.577030579050096,7.050391672088484,9795.20115168,22256.22,1220.9399999999957,0.89,40382.549999999996,20013.035042810672,724.2318831489922,0.0,61119.816925959654,71022.0,63850.73307404033,63850.73307404033,9795.20115168,22256.22,93171.23807763966,31799.311922360328,25.445444484608835
2049,79200,29.29128139232271,7.526295705920624,10082.745177119998,23799.600000000002,1557.310909090907,0.82,41552.549999999996,20626.23806467144,775.3239298633708,-3.833381612139419e-12,62954.111994534804,64943.99999999999,68094.4380054652,68094.4380054652,10082.745177119998,23799.600000000002,96836.45717165481,34212.09282834519,26.106426075179918
2050,78500,30.0,8.0,10353.045976,25316.250000000004,1820.7327272727243,0.75,42917.549999999996,21195.0,824.2500000000007,0.0,64936.799999999996,58875.0,72180.75,72180.75,10353.045976,25316.250000000004,100606.095976,36511.45402399999,26.627848896074934
2051,77900,30.708718607677294,8.468704294079377,10695.84923232,26782.020000000004,2287.9799999999987,0.687,44087.549999999996,21778.323923763826,872.7180967631759,0.0,66738.592020527,53517.3,75736.65797947299,75736.65797947299,10695.84923232,26782.020000000004,104216.461252847,38258.78874715298,26.852936736136968
2052,77300,31.4229694209499,8.929608327911515,11034.12158912,28168.120000000003,2742.2672727272666,0.624,45257.549999999996,22355.93973923227,919.438085621341,0.0,68532.9278248536,48235.2,79224.42217514639,79224.42217514639,11034.12158912,28168.120000000003,107735.1694139736,40022.180586026385,27.08642283177547
2053,76700,32.14828464541314,9.379911841249186,11367.817202559998,29475.810000000005,3183.5945454545376,0.561,46427.549999999996,22933.44133609304,964.1088573357197,0.0,70325.10019342876,43028.700000000004,82638.74980657123,82638.74980657123,11367.817202559998,29475.810000000005,111168.72739598877,41795.122604011216,27.323529450920088
