0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
钢铁行业减碳基准路径 - 适度情景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基准年2024 | 碳强度1.95 tCO2/t | CCUS百万吨起步 | 2024-2060逐年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氢冶金产量(万吨),,1005.09,1088.9179999999997,1190.666666666667,1294.9999999999998,1395.333333333333,1491.666666666667,1584,1770.72,1951.6799999999996,2126.88,2296.3199999999997,2460,2923.2,3381,3830.4,4276.8,4716,5070,5418,5760,6096,6426,6750,7077.5,7400,7717.5,8030,8242.2,8448.8,8649.8,8845.2,9035,9219.2,9411.6,9599.2,9796.6,9990,,,BF-BOF碳排放强度,1.80 tCO2/t
Step 5: 铁素资源结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scrap-EAF碳排放强度,0.45 tCO2/t
废钢资源量参考(万吨/年),"崔志峰等(2023): 2045峰值约5亿吨, 2050年4.7-5.2亿吨",28808,28229,29969,29387,29387,28789,32769,34491,36732,37921,40610,41361,39766,40502,43587,48920,49354,53285,53684,57951,57041,57897,58206,58406,58447,58384,58168,57730,57366,57787,57476,57995,56989,55995,55102,54192,53288,,,DRI-EAF碳排放强度,1.65 tCO2/t
长流程废钢消耗量(万吨),铁素资源公式,26835.903,25519.113600000004,24834.799999999996,24309,23787.4,23269.999999999996,22756.8,22175.664,21602.016,21035.856,20477.183999999997,19926,19293.12,18692.1,18098.64,17534.879999999997,16977.6,16497,16021.799999999997,15552,15087.599999999999,14628.6,14175,13745.25,13320,12899.25,12483,12059.639999999998,11642.159999999998,11230.560000000001,10824.84,10425,10031.039999999999,9657.119999999999,9288.24,8937.720000000001,8591.400000000001,,,铁水碳排放强度,1.26 tCO2/t
长流程矿石消耗量(万吨),铁素资源公式,113032.82343599999,107486.5064832,104604.17759999998,102389.50799999999,100192.52880000001,98013.23999999999,95851.64159999999,93403.89676799999,90987.691392,88603.02547200001,86249.89900800001,83928.31199999999,81262.62144,78731.1252,76231.47168,73856.91455999999,71509.6512,69485.364,67483.82159999998,65505.02399999999,63548.97119999999,61615.66319999999,59705.100000000006,57894.992999999995,56103.84,54331.640999999996,52578.396,50795.20367999999,49036.77792,47303.118720000006,45594.22608000001,43910.09999999999,42250.740479999986,40675.789439999986,39122.06688,37645.676640000005,36186.976800000004,,,,
短流程废钢消耗量(万吨),铁素资源公式,11055.99,10921.206999999999,11029.333333333338,11192.5,11344.666666666664,11485.833333333338,11616.000000000002,12221.44,12805.760000000002,13368.960000000001,13911.04,14432.000000000002,15363.04,16293.2,17204.88,18120.96,19021.2,19734,20433.600000000002,21120,21793.2,22453.2,23100.000000000004,23765.500000000004,24420.000000000004,25063.500000000004,25696.000000000004,26244.9,26778.4,27296.500000000004,27799.2,28286.500000000004,28758.4,29257.800000000003,29744.000000000004,30262.100000000002,30769.2,,,---电力参数---,
氢冶金废钢消耗量(万吨),铁素资源公式,502.545,544.4589999999998,595.3333333333335,647.4999999999999,697.6666666666665,745.8333333333335,792,885.36,975.8399999999998,1063.44,1148.1599999999999,1230,1461.6,1690.5,1915.2,2138.4,2358,2535,2709,2880,3048,3213,3375,3538.75,3700,3858.75,4015,4121.1,4224.4,4324.9,4422.6,4517.5,4609.6,4705.8,4799.6,4898.3,4995,,,电网因子(kgCO2/kWh),0.5306
氢冶金矿石消耗量(万吨),铁素资源公式,952.5237929999998,1031.9675885999995,1128.3948,1227.2714999999996,1322.3573999999996,1413.6525000000004,1501.1568,1678.111344,1849.6071359999996,2015.644176,2176.222464,2331.342,2770.3166399999996,3204.1737,3630.0700800000004,4053.1233599999996,4469.3532,4804.839,5134.638599999999,5458.752,5777.1792,6089.9202,6396.974999999999,6707.34675,7012.98,7313.874749999999,7610.030999999999,7811.132939999999,8006.927759999999,8197.41546,8382.596040000002,8562.4695,8737.03584,8919.373319999999,9097.16184,9284.23782,9467.523,,,,
废钢消耗总量(万吨),铁素资源公式,38394.437999999995,36984.77960000001,36459.46666666667,36149,35829.73333333333,35501.66666666667,35164.8,35282.464,35383.615999999995,35468.256,35536.384000000005,35588,36117.76,36675.8,37218.72,37794.24,38356.8,38766,39164.4,39552,39928.8,40294.8,40650,41049.5,41440,41821.5,42194,42425.64,42644.96,42851.96000000001,43046.64,43229,43399.04,43620.72,43831.840000000004,44098.12000000001,44355.600000000006,,,BF-BOF耗电(kWh/t),450
矿石消耗总量(万吨),铁素资源公式,113985.34722899999,108518.47407180001,105732.57239999998,103616.77949999999,101514.88620000001,99426.89249999999,97352.79839999999,95082.008112,92837.298528,90618.66964800001,88426.12147200001,86259.654,84032.93808,81935.2989,79861.54176000001,77910.03791999999,75979.00439999999,74290.20300000001,72618.46019999999,70963.77599999998,69326.1504,67705.58339999999,66102.07500000001,64602.33974999999,63116.81999999999,61645.51574999999,60188.426999999996,58606.33661999999,57043.70568,55500.53418,53976.82212000001,52472.56949999999,50987.77631999999,49595.162759999985,48219.22872,46929.91446000001,45654.499800000005,,,Scrap-EAF耗电(kWh/t),550
